TNM,freq
"T1a,N0,M0",0.09754029823012961
"T1c,N0,M0",0.09323407813443582
"T1b,N0,M0",0.05255957634598411
"T1,N0,M0",0.052297115250615506
"T2,N0,M0",0.04886421702977656
"T3,N0,M0",0.03955497747015376
"T2c,N0,M0",0.03837041854415385
"T2NOS,N0,M0",0.03479816044966786
"T2a,N0,M0",0.03329075114971896
"Ta,N0,M0",0.026269336182468527
"T3a,N0,M0",0.023091931063315835
"T1c,N0(i-),M0",0.017882194453477027
"T2b,N0,M0",0.015596692525665444
"T2,N1a,M0",0.012691039160124495
"T3,N1,M0",0.012533097969991174
"T1NOS,N0,M0",0.01232870348864217
"T1b,N0(i-),M0",0.011204533841222651
"T3b,N0,M0",0.010064105541877642
"T2,N0(i-),M0",0.009729641845124728
"T1a(s),N0,M0",0.009541506015701213
"T2,N1,M0",0.008475402982301296
"T1c,N1a,M0",0.0081664885957170065
"T4,N2,M1b",0.007571886468156269
"T4,N0,M0",0.007502206531332745
"T3,N1a,M0",0.006891345751846518
"T4a,N0,M0",0.00564407488270544
"T3,N2,M1b",0.005495424350815255
"Tis,N0,M0",0.005349096483485855
"T3,N2,M0",0.005242253913689785
"T3,N1b,M0",0.00497514748919961
"T2,N2a,M0",0.004968179495517257
"T3,N2a,M0",0.004870627583964324
"T1a,N0(i-),M0",0.00451990523528592
"T4,N3,M1b",0.004327124076740837
"T1a(m),N0,M0",0.00430622009569378
"T3,N1,M1",0.004292284108329075
"T1b(s),N0,M0",0.0042249268360663355
"T4,N2,M0",0.004180796209411437
"T2,N0,M1",0.0040576949876898775
"T2(s),N0,M0",0.003630324708505598
"T2a,N2,M0",0.003511868815905607
"T3,N0,M1",0.003479351512054629
"T4,N1,M0",0.0034747061829330608
"T1c,N1mi,M0",0.0033469596320899334
"T3c,N0,M0",0.003337668973846797
"T3,N2b,M0",0.00331676499279974
"T2,N1mi,M0",0.003242439726854648
"T2NOS,NX,M0",0.0032215357458075904
"T2a,N2,M1b",0.0031541784735448506
"T1b(m),N0,M0",0.003054303897431133
"T3,N3,M1b",0.0028568774097644817
"T4,N2,M1a",0.0027964881311840946
"T3(s),N0,M0",0.002789520137501742
"T2,N1,M1",0.0027779068146978215
"T4,N0,M1b",0.00264783759929391
"T4,N1,M1",0.0026339016119292053
"T4,N0,M1",0.002610674966321364
"T3,N0,M1b",0.0025828029915919543
